Charter number,Year and quarter,Year,Quarter ,Credit Union name,"Street 
(Mailing address)","City 
(Mailing address)",State (Mailing address),Zip code (Mailing address),Credit Union type,NCUA region,Low-income designation,Members,Total assets,Total loans,Total deposits,Return on average assets,Net worth ratio (excludes CECL transition provision),Loan-to-share ratio,"Total deposits,
4 quarter growth 
(%)","Total loans, 
4 quarter growth 
(%)","Total assets, 
4 quarter growth 
(%)","Members,
4 quarter growth 
(%)","Net worth, 
4 quarter growth (excludes CECL transition provision)
(%)",Unnamed: 24,NCUA internal ID (join_number)
1,2025.3,2025,3,MORRIS SHEPPARD TEXARKANA,419 W 4TH ST,TEXARKANA,TX,75501,1,2,1,1258,12676797,8816610,11225414,0.7450515632851187,11.4,78.54151303461948,11.627907439265716,-1.3959074080370226,11.014482117948887,-0.39588281868566666,6.477348654002411,,2
6,2025.3,2025,3,THE NEW ORLEANS FIREMEN'S,P O Box 689,Metairie,LA,70004,1,2,1,25961,278852542,211987834,241226857,1.1042400054205084,11.6,87.87903496168339,2.0326373341958526,6.329291280922078,3.1529326629305965,-9.297044231709872,9.136442085093147,,7
12,2025.3,2025,3,FRANKLIN TRUST,624 Franklin Ave,Hartford,CT,6114,1,1,1,8972,64991643,31296292,59021681,0.48890155067622143,9.99,53.025077344035665,10.173604164271888,8.280895931633104,10.716720943574941,-0.9603709018655482,6.679855843762485,,11
13,2025.3,2025,3,EFCU FINANCIAL,3232 S Sherwood Forest Blvd,Baton Rouge,LA,70816,1,2,1,70187,1216552344,1081067754,1058398140,1.0014371358936027,9.68,102.1418796144143,8.728219712282748,9.172280922652076,8.12566374824577,3.8714833286469075,10.66355708461037,,12
16,2025.3,2025,3,WOODMEN,1700 FARNAM ST STE 1000,OMAHA,NE,68102,1,3,0,869,9247964,3815332,7918995,0.015544948217771687,13.96,48.17949752462276,-3.438583595913325,1.5572171218820152,-2.6826359807098688,-1.8079096045197751,0.29686059435809525,,14
19,2025.3,2025,3,NEW HAVEN TEACHERS,90 Hamilton St,New Haven,CT,6511,1,1,0,1049,9933271,1478698,6732441,1.7015791706728685,32.2,21.963772129603512,2.471451956715809,-5.964553033723585,3.4422535029394297,-3.849679193400546,5.551063807318741,,16
22,2025.3,2025,3,WATERBURY CONNECTICUT TEACHERS,P.O. BOX 2121,WATERBURY,CT,6722,1,1,0,22102,350964379,238174653,291294097,1.707622125074581,16.44,81.7643252825683,5.754724939492406,-2.0696110407335655,6.47545699892178,0.7705284274837076,10.639958873049611,,17
26,2025.3,2025,3,FARMERS,6611 DUNN AVE,JACKSONVILLE,FL,32218,1,2,1,1162,21843885,5968230,19485349,0.7456667878644941,10.38,30.62932052179307,4.1577355524957005,-0.6664478572208421,4.311555865378369,-1.358234295415961,6.249557786679574,,19
28,2025.3,2025,3,CENTRIS,13120 Pierce St,Omaha,NE,68144,1,3,0,137351,1445646687,1248832715,1181243057,0.9389766898196326,9.18,105.72190944103048,1.568218294743362,6.786242354439387,5.426105151215088,-0.3728284916403757,10.293807333044313,,21
42,2025.3,2025,3,FD COMMUNITY,601 Watertown Ave,Waterbury,CT,6708,1,1,1,13873,153412037,85763134,135104068,0.7796734978560679,11.16,63.47931285089062,5.577745837802794,5.259902620719936,5.410123901596231,-2.952081147254282,7.828306111945392,,29
47,2025.3,2025,3,FARGO PUBLIC SCHOOLS,1609 32nd Ave S,Fargo,ND,58103,1,3,1,2361,56849610,22868205,49667778,0.4921872872181047,12.17,46.042335535928345,-1.130918214770893,-4.254755263355891,-0.6379715199731351,0.12722646310432406,3.781215513028174,,30
48,2025.3,2025,3,EAGLE EXPRESS,P O BOX 567,JACKSON,MS,39205,1,2,1,3961,64204652,22703845,51089751,0.11534550422949347,21.04,44.43913809640607,0.5756304669932932,0.09388715527518521,1.1365857426775205,-2.7498158605450573,0.5393288102793982,,31
51,2025.3,2025,3,BROADVIEW,4 Winners Circle,Albany,NY,12205,1,1,1,510624,9024142199,6862531258,7971192652,0.5706506434071282,8.6,86.09164973924156,5.723879507338414,2.45211062534465,0.8844995087106344,2.7960582604406703,5.960022553170579,,32
53,2025.3,2025,3,MOTION,360 N Wood Ave,Linden,NJ,7036,1,1,0,5106,60950141,38916626,54419700,0.4336429037884372,10.01,71.51201862560801,-2.7211921263650463,-0.5931542439866488,-1.6348412943566148,-2.014968336211864,4.129629038445156,,33
60,2025.3,2025,3,LEVO,PO Box 5735,Sioux Falls,SD,57117,1,3,0,37177,497781951,330972433,441773029,0.7927408006422836,11.26,74.91911259254354,7.178438564215184,14.569595548519487,7.516711403743237,6.107828866626708,7.231034031238144,,35
77,2025.3,2025,3,SERVICE FIRST,3901 East 10th Street,Sioux Falls,SD,57103,1,3,0,16780,202766423,104987951,184960788,0.5672022087088658,9.08,56.76227493148439,-0.24177728311179925,-16.90932048296927,1.3569301547955215,-3.867086794614727,7.171807655825605,,41
